track_uri,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
6y4nqlHb6WXmHkv3Pa7n3P,Adonai (Remix) [feat. Castro],0.831,0.669,6.0,-4.219,1.0,0.0765,0.351,0.0,0.0539,0.915,109.973,audio_features,6y4nqlHb6WXmHkv3Pa7n3P,spotify:track:6y4nqlHb6WXmHkv3Pa7n3P,https://api.spotify.com/v1/tracks/6y4nqlHb6WXmHkv3Pa7n3P,https://api.spotify.com/v1/audio-analysis/6y4nqlHb6WXmHkv3Pa7n3P,288131.0,4.0,afrobeats
06B0pbiRWZJAfxJXu6R4wY,"Dorobucci (feat. Don Jazzy, Dr Sid, Dr Sid Tiwa Savage, Reekado Banks, Di'ja, Korede Bello & D'prince)",0.571,0.736,2.0,-8.697,1.0,0.141,0.242,8.02e-06,0.186,0.481,197.952,audio_features,06B0pbiRWZJAfxJXu6R4wY,spotify:track:06B0pbiRWZJAfxJXu6R4wY,https://api.spotify.com/v1/tracks/06B0pbiRWZJAfxJXu6R4wY,https://api.spotify.com/v1/audio-analysis/06B0pbiRWZJAfxJXu6R4wY,266903.0,3.0,afrobeats
4kbszKEvLCtJ020xd0OVDX,Odo,0.795,0.871,1.0,-2.584,0.0,0.0696,0.0649,5.13e-05,0.0432,0.915,107.985,audio_features,4kbszKEvLCtJ020xd0OVDX,spotify:track:4kbszKEvLCtJ020xd0OVDX,https://api.spotify.com/v1/tracks/4kbszKEvLCtJ020xd0OVDX,https://api.spotify.com/v1/audio-analysis/4kbszKEvLCtJ020xd0OVDX,233080.0,4.0,afrobeats
1noPA8QfOmSEurS2PekBsp,Nwa Baby (Ashawo Remix),0.767,0.973,1.0,0.074,1.0,0.0742,0.12,0.374,0.113,0.958,100.624,audio_features,1noPA8QfOmSEurS2PekBsp,spotify:track:1noPA8QfOmSEurS2PekBsp,https://api.spotify.com/v1/tracks/1noPA8QfOmSEurS2PekBsp,https://api.spotify.com/v1/audio-analysis/1noPA8QfOmSEurS2PekBsp,262347.0,4.0,afrobeats
6v3t7pht6XNt5Wq7co40DM,Personally,0.764,0.739,6.0,-4.322,0.0,0.258,0.097,0.000355,0.0969,0.963,162.546,audio_features,6v3t7pht6XNt5Wq7co40DM,spotify:track:6v3t7pht6XNt5Wq7co40DM,https://api.spotify.com/v1/tracks/6v3t7pht6XNt5Wq7co40DM,https://api.spotify.com/v1/audio-analysis/6v3t7pht6XNt5Wq7co40DM,192720.0,5.0,afrobeats
4jPxPF4jj0liUxoDI2bIBy,Sorkode,0.955,0.804,8.0,-9.206,1.0,0.136,0.0418,4.39e-05,0.0735,0.904,130.011,audio_features,4jPxPF4jj0liUxoDI2bIBy,spotify:track:4jPxPF4jj0liUxoDI2bIBy,https://api.spotify.com/v1/tracks/4jPxPF4jj0liUxoDI2bIBy,https://api.spotify.com/v1/audio-analysis/4jPxPF4jj0liUxoDI2bIBy,220360.0,4.0,afrobeats
7xAHWYJhJQLM83eDaerhS2,Alkayida (Boy Abre),0.876,0.716,7.0,-6.345,1.0,0.195,0.18,0.0,0.296,0.721,103.474,audio_features,7xAHWYJhJQLM83eDaerhS2,spotify:track:7xAHWYJhJQLM83eDaerhS2,https://api.spotify.com/v1/tracks/7xAHWYJhJQLM83eDaerhS2,https://api.spotify.com/v1/audio-analysis/7xAHWYJhJQLM83eDaerhS2,218032.0,4.0,afrobeats
6KjIPqQlgf2jetOWtF6Zs8,Aye,0.729,0.853,11.0,-5.067,1.0,0.049,0.62,0.0,0.0598,0.966,114.995,audio_features,6KjIPqQlgf2jetOWtF6Zs8,spotify:track:6KjIPqQlgf2jetOWtF6Zs8,https://api.spotify.com/v1/tracks/6KjIPqQlgf2jetOWtF6Zs8,https://api.spotify.com/v1/audio-analysis/6KjIPqQlgf2jetOWtF6Zs8,235309.0,4.0,afrobeats
0YcLMyZGhtAx1qYgQPbPkJ,Ahayede,0.836,0.872,7.0,-5.007,1.0,0.0877,0.248,1.18e-05,0.121,0.941,114.976,audio_features,0YcLMyZGhtAx1qYgQPbPkJ,spotify:track:0YcLMyZGhtAx1qYgQPbPkJ,https://api.spotify.com/v1/tracks/0YcLMyZGhtAx1qYgQPbPkJ,https://api.spotify.com/v1/audio-analysis/0YcLMyZGhtAx1qYgQPbPkJ,300722.0,4.0,afrobeats
24QOYBHFbneNWWmZLcDLGS,Wadi Mi Sika,0.819,0.781,10.0,-4.273,0.0,0.113,0.0875,0.0,0.0889,0.854,128.029,audio_features,24QOYBHFbneNWWmZLcDLGS,spotify:track:24QOYBHFbneNWWmZLcDLGS,https://api.spotify.com/v1/tracks/24QOYBHFbneNWWmZLcDLGS,https://api.spotify.com/v1/audio-analysis/24QOYBHFbneNWWmZLcDLGS,260807.0,4.0,afrobeats
6prqX1SW2MMH8hAOIzKQ3Z,Dance For Me (Eugy X Mr Eazi),0.774,0.685,11.0,-5.14,0.0,0.069,0.154,0.0,0.391,0.587,106.982,audio_features,6prqX1SW2MMH8hAOIzKQ3Z,spotify:track:6prqX1SW2MMH8hAOIzKQ3Z,https://api.spotify.com/v1/tracks/6prqX1SW2MMH8hAOIzKQ3Z,https://api.spotify.com/v1/audio-analysis/6prqX1SW2MMH8hAOIzKQ3Z,204173.0,4.0,afrobeats
3ddd0nUY2jZtPYzg0r0wTb,Pana,0.553,0.553,6.0,-6.818,0.0,0.305,0.305,0.0581,0.0715,0.664,72.949,audio_features,3ddd0nUY2jZtPYzg0r0wTb,spotify:track:3ddd0nUY2jZtPYzg0r0wTb,https://api.spotify.com/v1/tracks/3ddd0nUY2jZtPYzg0r0wTb,https://api.spotify.com/v1/audio-analysis/3ddd0nUY2jZtPYzg0r0wTb,242893.0,3.0,afrobeats
